fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
HD 214823,b,HD 214823 b,1854.4,3.23,0.1641,6451.949,12.1,20,
HD 215152,b,HD 215152 b,5.75999,0.057638,0,1.819,1.19,5.93,
HD 215152,c,HD 215152 c,7.28243,0.067393,0,1.72,1.17,5.9,
HD 215152,d,HD 215152 d,10.86499,0.08799,0,2.801,1.48,4.75,
HD 215152,e,HD 215152 e,25.1967,0.15417,0,2.877,1.51,4.59,
HD 215497,b,HD 215497 b,3.93404,0.05,0.16,6.3566,2.4,2.53,
HD 215497,c,HD 215497 c,567.94,1.282,0.49,104.3,12.5,0.293,
HD 216435,b,HD 216435 b,1311,2.56,0.07,400.4,13.7,0.856,
HD 216437,b,HD 216437 b,1256,2.32,0.29,578.4506,13.4,1.32,
HD 216536,b,HD 216536 b,148.60001,0.61,0.38,333.7215,13.8,0.698,
HD 216770,b,HD 216770 b,118.45,0.46,0.37,181.1631,14.1,0.355,
HD 21693,b,HD 21693 b,22.6786,0.1455,0.12,8.23,2.8,2.06,
HD 21693,c,HD 21693 c,53.7357,0.2586,0.07,17.37,4.34,1.17,
HD 217107,b,HD 217107 b,7.12682,0.08,0.13,413.179,13.6,0.903,
HD 217107,c,HD 217107 c,4270,5.32,0.517,826.32,13.2,1.97,
HD 217786,b,HD 217786 b,1319,2.38,0.4,4131.62,12.3,12.2,
HD 217850,b,HD 217850 b,3501.3,4.56,0.7621,6865.128,12.1,21.3,
HD 218566,b,HD 218566 b,225.7,0.69,0.3,63.566,9.32,0.431,
HD 219077,b,HD 219077 b,5501,6.22,0.77,3302.11,12.5,9.29,
HD 219134,b,HD 219134 b,3.092926,0.03876,0,4.74,1.602,6.34,1015
HD 219134,c,HD 219134 c,6.76458,0.0653,0.062,4.36,1.511,6.95,782
HD 219134,d,HD 219134 d,46.859,0.237,0.138,16.17,1.61,,411
HD 219134,f,HD 219134 f,22.717,0.1463,0.148,7.3,1.31,,523
HD 219134,g,HD 219134 g,94.2,0.3753,0,10.80622,3.28,1.68,
HD 219134,h,HD 219134 h,2247,3.11,0.06,108.0622,12.7,0.29,
HD 219415,b,HD 219415 b,2093.3,3.2,0.4,317.83,13.8,0.665,
HD 219666,b,HD 219666 b,6.03607,0.06356,0,16.6,4.71,0.87,1073
HD 219828,b,HD 219828 b,3.83492,0.0507,0.101,20.97678,4.85,1.01,
HD 219828,c,HD 219828 c,4682,5.79,0.8102,4640.318,12.3,13.7,
HD 220074,b,HD 220074 b,672.09998,1.6,0.14,5288.6912,12.2,16,
HD 220689,b,HD 220689 b,2209,3.36,0.16,336.89,13.8,0.704,
HD 220773,b,HD 220773 b,3724.7,4.94,0.51,460.8,13.6,1.01,
HD 220842,b,HD 220842 b,218.47,0.74,0.404,1010.6994,13.1,2.47,
HD 221287,b,HD 221287 b,456.1,1.25,0.08,982.05,13.1,2.4,
HD 221585,b,HD 221585 b,1173,2.306,0.123,511.7063,13.5,1.14,
