fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
Kepler-1573,b,Kepler-1573 b,2.6157554,,,1.87,1.2,5.95,
Kepler-1574,b,Kepler-1574 b,6.9424334,,,2.21,1.29,5.66,
Kepler-1575,b,Kepler-1575 b,2.55314213,,,2.27,1.31,5.55,
Kepler-1576,b,Kepler-1576 b,6.98471973,,,1.12,1.04,5.47,
Kepler-1577,b,Kepler-1577 b,6.30560247,,,1.51,1.13,5.75,
Kepler-1578,b,Kepler-1578 b,1.45088691,,,1.12,1.04,5.47,
Kepler-1579,b,Kepler-1579 b,0.84990789,,,0.52,0.84,4.82,
Kepler-158,b,Kepler-158 b,16.709184,0.111,,5.14,2.12,2.96,
Kepler-158,c,Kepler-158 c,28.551383,0.158,,4.27,1.9,3.42,
Kepler-1580,b,Kepler-1580 b,56.6449279,,,5.1,2.11,2.98,
Kepler-1581,b,Kepler-1581 b,6.28385491,,,0.437,0.8,4.69,
Kepler-1582,b,Kepler-1582 b,4.83817712,,,2.83,1.49,4.7,
Kepler-1583,b,Kepler-1583 b,9.32807355,,,0.156,0.6,3.97,
Kepler-1584,b,Kepler-1584 b,13.3997099,,,3.22,1.61,4.24,
Kepler-1585,b,Kepler-1585 b,3.5827463,,,3.86,1.79,3.7,
Kepler-1586,b,Kepler-1586 b,15.6049212,,,2.92,1.52,4.57,
Kepler-1587,b,Kepler-1587 b,9.4060467,,,2.33,1.33,5.44,
Kepler-1588,b,Kepler-1588 b,7.84931739,,,0.363,0.76,4.54,
Kepler-1589,b,Kepler-1589 b,0.99166527,,,1.32,1.09,5.6,
Kepler-159,b,Kepler-159 b,10.139623,0.082,,6.26,2.38,2.55,448
Kepler-159,c,Kepler-159 c,43.595792,0.218,,11.5,3.41,1.59,275
Kepler-1590,b,Kepler-1590 b,7.61760804,,,1.55,1.14,5.75,
Kepler-1591,b,Kepler-1591 b,8.18504949,,,2.15,1.27,5.77,
Kepler-1592,b,Kepler-1592 b,3.05710069,,,2.99,1.54,4.5,
Kepler-1593,b,Kepler-1593 b,174.509835,0.546,,10.2,3.17,3.03,260
Kepler-1594,b,Kepler-1594 b,2.71603809,,,1.2,1.06,5.54,
Kepler-1595,b,Kepler-1595 b,4.56380468,,,2.04,1.23,6.02,
Kepler-1596,b,Kepler-1596 b,66.373379,,,4.27,1.9,3.42,
Kepler-1597,b,Kepler-1597 b,2.94654179,,,1.2,1.06,5.54,
Kepler-1598,b,Kepler-1598 b,4.34195123,,,0.809,0.95,5.18,
Kepler-1599,b,Kepler-1599 b,122.363553,,,3.26,1.62,4.21,
Kepler-16,b,Kepler-16 b,228.776,0.7048,0.0069,105.833,8.449,0.964,
Kepler-160,b,Kepler-160 b,4.309427,0.05,,2.99,1.54,4.5,
Kepler-160,c,Kepler-160 c,13.699087,0.109,,12.7,3.61,1.48,
Kepler-1600,b,Kepler-1600 b,386.370548,,,9.96,3.13,1.78,
Kepler-1601,b,Kepler-1601 b,2.20921951,,,0.477,0.82,4.75,
Kepler-1602,b,Kepler-1602 b,11.17931605,,,2.36,1.34,5.39,
Kepler-1603,b,Kepler-1603 b,2.27163926,,,2.21,1.29,5.66,
Kepler-1604,b,Kepler-1604 b,0.68368426,,,2.57,1.41,5.04,
Kepler-1605,b,Kepler-1605 b,85.7565495,,,1.28,1.08,5.58,
Kepler-1606,b,Kepler-1606 b,196.435224,0.6421,,4.94,2.07,1.67,324
Kepler-1607,b,Kepler-1607 b,13.6473676,,,0.721,0.92,5.09,
Kepler-1608,b,Kepler-1608 b,16.4735686,,,3.64,1.73,3.86,
Kepler-1609,b,Kepler-1609 b,114.34219,,,5.56,2.22,2.79,
Kepler-161,b,Kepler-161 b,4.921355,0.054,,12.1,2.12,6.98,
Kepler-161,c,Kepler-161 c,7.06424,0.068,,11.8,2.05,7.53,
Kepler-1610,b,Kepler-1610 b,8.70181574,,,3.22,1.61,4.24,
Kepler-1611,b,Kepler-1611 b,5.1762429,,,0.457,0.81,4.73,
Kepler-1612,b,Kepler-1612 b,3.91795101,,,1.08,1.03,5.43,
Kepler-1613,b,Kepler-1613 b,1.5184299,,,4.98,2.08,3.04,
Kepler-1614,b,Kepler-1614 b,3.9466141,,,2.83,1.49,4.7,
Kepler-1615,b,Kepler-1615 b,47.3126192,,,4.9,2.06,3.08,
Kepler-1616,b,Kepler-1616 b,6.76284377,,,1.04,1.02,5.39,
Kepler-1617,b,Kepler-1617 b,27.4785572,,,1.87,1.2,5.95,
Kepler-1618,b,Kepler-1618 b,6.10826019,,,2.13,1.26,5.85,
Kepler-1619,b,Kepler-1619 b,23.6225913,,,0.363,0.76,4.54,
Kepler-162,b,Kepler-162 b,6.919798,0.069,,2.13,1.26,5.85,
Kepler-162,c,Kepler-162 c,19.446355,0.137,,9.43,3.03,1.86,
Kepler-1620,b,Kepler-1620 b,101.951829,,,3.22,1.61,4.24,
Kepler-1621,b,Kepler-1621 b,92.263714,,,5.31,2.16,2.9,
Kepler-1622,b,Kepler-1622 b,10.8118737,,,2.76,1.47,4.77,
Kepler-1623,b,Kepler-1623 b,4.36128348,,,2.27,1.31,5.55,
Kepler-1624,b,Kepler-1624 b,3.29030452,,,27.6,5.7,0.819,
Kepler-1625,b,Kepler-1625 b,287.378949,,,30.6,6.06,0.756,
Kepler-1626,b,Kepler-1626 b,4.13962966,,,4.74,2.02,3.16,
Kepler-1627,b,Kepler-1627 b,7.20283653,,,13.2,3.69,1.44,
Kepler-1628,b,Kepler-1628 b,76.378033,,,33.8,6.43,0.699,
Kepler-1629,b,Kepler-1629 b,3.87595807,,,0.381,0.77,4.59,
Kepler-163,b,Kepler-163 b,7.810937,0.078,,1.16,1.05,5.51,
Kepler-163,c,Kepler-163 c,21.347262,0.152,,5.73,2.26,2.73,
Kepler-1630,b,Kepler-1630 b,509.997402,,,5.43,2.19,2.84,
Kepler-1631,b,Kepler-1631 b,4.09513932,,,2.39,1.35,5.34,
Kepler-1632,b,Kepler-1632 b,448.303558,,,6.66,2.47,2.43,
Kepler-1633,b,Kepler-1633 b,186.404271,,,3.12,1.58,4.35,
Kepler-1634,b,Kepler-1634 b,374.876239,,,10.3,3.19,1.74,
Kepler-1635,b,Kepler-1635 b,469.63111,,,12.9,3.64,1.47,
Kepler-1636,b,Kepler-1636 b,425.47785,,,10.5,3.23,1.71,
Kepler-1637,b,Kepler-1637 b,6.10960324,,,0.64,0.89,4.99,
Kepler-1638,b,Kepler-1638 b,259.33683,0.745,,4.16,1.87,0.56,304
Kepler-1639,b,Kepler-1639 b,9.878482,,,7.18,2.58,2.3,
Kepler-164,b,Kepler-164 b,5.03503,0.058,,2.57,1.41,5.04,
Kepler-164,c,Kepler-164 c,10.945723,0.097,,7.9,2.73,2.13,
Kepler-164,d,Kepler-164 d,28.986769,0.187,,6.57,2.45,2.45,
Kepler-1640,b,Kepler-1640 b,7.5844126,,,20.7,4.82,1.02,
Kepler-1641,b,Kepler-1641 b,19.672266,,,9.85,3.11,1.8,
Kepler-1641,c,Kepler-1641 c,32.657212,,,9.01,2.95,1.93,
Kepler-1642,b,Kepler-1642 b,12.2057513,,,10.3,3.2,1.73,
Kepler-1642,c,Kepler-1642 c,6.6513802,,,7.56,2.66,2.21,
Kepler-1643,b,Kepler-1643 b,5.34264507,,,5.9,2.3,2.66,
Kepler-1644,b,Kepler-1644 b,21.0907758,,,4.19,1.88,3.47,
Kepler-1645,b,Kepler-1645 b,16.1779561,,,3.82,1.78,3.72,
Kepler-1646,b,Kepler-1646 b,4.48558383,,,2.04,1.23,6.02,
Kepler-1647,b,Kepler-1647 b,1107.5923,2.7205,0.0581,483,11.874,1.59,
Kepler-1649,b,Kepler-1649 b,8.68909,0.0514,0,1.28,1.08,5.58,
Kepler-165,b,Kepler-165 b,8.180848,0.072,,5.99,2.32,2.64,
Kepler-165,c,Kepler-165 c,15.31299,0.11,,5.6,2.23,2.77,
Kepler-1650,b,Kepler-1650 b,1.53818001,,0.01,0.84,0.96,5.22,
Kepler-1651,b,Kepler-1651 b,9.87863917,,0.13,4.04,1.84,3.56,
Kepler-1652,b,Kepler-1652 b,38.09722,0.1654,,3.19,1.6,9.9,268
Kepler-1653,b,Kepler-1653 b,140.2524,0.4706,,5.35,2.17,3.08,284
Kepler-1654,b,Kepler-1654 b,1047.8356,2.026,0.26,158.915,9.18,1.2,206
Kepler-1655,b,Kepler-1655 b,11.8728787,0.103,,5,2.213,2.5,
Kepler-1656,b,Kepler-1656 b,31.578659,0.197,0.836,48.6,5.02,2.13,651
Kepler-1658,b,Kepler-1658 b,3.84937278,0.0544,0.0628,1868.8404,11.994,6.36,
Kepler-166,b,Kepler-166 b,7.650254,0.072,,5.77,2.27,2.71,
Kepler-166,c,Kepler-166 c,34.260281,0.195,,6.26,2.38,2.55,
Kepler-166,d,Kepler-166 d,1.55400393,,,3.64,1.73,3.86,
Kepler-167,b,Kepler-167 b,4.3931632,0.0483,0,3.24,1.615,4.23,914
Kepler-167,c,Kepler-167 c,7.406114,0.0684,0,3.01,1.548,4.46,768
Kepler-167,d,Kepler-167 d,21.803855,0.1405,0.12,1.83,1.194,5.91,536
Kepler-167,e,Kepler-167 e,1071.23228,1.89,0.062,73.4,10.15,0.386,131
Kepler-168,b,Kepler-168 b,4.425391,0.056,,2.73,1.46,4.82,
Kepler-168,c,Kepler-168 c,13.193242,0.116,,7.7,2.69,2.17,
Kepler-169,b,Kepler-169 b,3.250619,0.04,,1.51,1.13,5.75,
Kepler-169,c,Kepler-169 c,6.195469,0.062,,1.92,1.21,5.96,
Kepler-169,d,Kepler-169 d,8.348125,0.075,,2.1,1.25,5.91,
Kepler-169,e,Kepler-169 e,13.767102,0.105,,5.48,2.2,2.83,
Kepler-169,f,Kepler-169 f,87.090195,0.359,,7.18,2.58,2.3,
Kepler-17,b,Kepler-17 b,1.4857108,0.02591,0.011,778.65,14.68,1.35,1570
Kepler-170,b,Kepler-170 b,7.930592,0.08,,82.6,3.2,13.9,
Kepler-170,c,Kepler-170 c,16.665863,0.131,,8.55,2.86,2.01,
Kepler-171,b,Kepler-171 b,4.166972,0.05,,6.08,2.34,2.61,
Kepler-171,c,Kepler-171 c,11.463462,0.098,,7.08,2.56,2.32,
Kepler-171,d,Kepler-171 d,39.595519,0.223,,4.23,1.89,3.44,
Kepler-172,b,Kepler-172 b,2.940309,0.04,,6.12,2.35,2.59,
Kepler-172,c,Kepler-172 c,6.388996,0.068,,8.55,2.86,2.01,
Kepler-172,d,Kepler-172 d,14.627119,0.118,,5.69,2.25,2.74,
Kepler-172,e,Kepler-172 e,35.118736,0.211,,8.05,2.76,2.1,
Kepler-173,b,Kepler-173 b,4.263742,0.048,,2.21,1.29,5.66,
Kepler-173,c,Kepler-173 c,8.005777,0.074,,6.48,2.43,2.48,
Kepler-174,b,Kepler-174 b,13.98179,0.1,,4.5,1.96,3.28,
Kepler-174,c,Kepler-174 c,44.000529,0.214,,2.83,1.49,4.7,
Kepler-174,d,Kepler-174 d,247.35373,0.677,,5.43,2.19,2.84,
Kepler-175,b,Kepler-175 b,11.903515,0.105,,7.08,2.56,2.32,
Kepler-175,c,Kepler-175 c,34.035257,0.213,,9.8,3.1,1.81,
Kepler-176,b,Kepler-176 b,5.433074,0.058,,2.63,1.43,4.94,
Kepler-176,c,Kepler-176 c,12.759712,0.102,,23,2.6,7.19,
Kepler-176,d,Kepler-176 d,25.751974,0.163,,15.2,2.51,5.28,
Kepler-176,e,Kepler-176 e,51.16579,,,2.7,1.45,4.87,
Kepler-177,b,Kepler-177 b,36.855,,,2,2.9,1,
Kepler-177,c,Kepler-177 c,49.412,,,7.5,7.1,0.2,
Kepler-178,b,Kepler-178 b,9.576694,0.085,,8.75,2.9,1.97,
Kepler-178,c,Kepler-178 c,20.552802,0.142,,8.65,2.88,1.99,
Kepler-178,d,Kepler-178 d,96.678988,0.397,,14.8,3.95,1.32,
Kepler-179,b,Kepler-179 b,2.735926,0.036,,3.33,1.64,4.15,
Kepler-179,c,Kepler-179 c,6.40013,0.064,,4.66,2,3.2,
Kepler-18,b,Kepler-18 b,3.504725,0.0447,0,6.9,2,4.9,
Kepler-18,c,Kepler-18 c,7.64159,0.0752,0,17.3,5.49,0.59,
Kepler-18,d,Kepler-18 d,14.85888,0.1172,0,16.4,6.98,0.27,
Kepler-180,b,Kepler-180 b,13.817124,0.109,,2.86,1.5,4.66,
Kepler-180,c,Kepler-180 c,41.885775,0.229,,9.32,3.01,1.88,
Kepler-181,b,Kepler-181 b,3.137873,0.04,,2.15,1.27,5.77,
Kepler-181,c,Kepler-181 c,4.302149,0.049,,4.62,1.99,3.22,
Kepler-182,b,Kepler-182 b,9.825792,0.096,,7.18,2.58,2.3,
Kepler-182,c,Kepler-182 c,20.684342,0.157,,11.6,3.43,1.58,
Kepler-183,b,Kepler-183 b,5.687945,0.064,,4.9,2.06,3.08,
Kepler-183,c,Kepler-183 c,11.637071,0.103,,35.7,2.27,16.8,
Kepler-184,b,Kepler-184 b,10.687576,0.092,,6.17,2.36,2.58,
Kepler-184,c,Kepler-184 c,20.303005,0.141,,8.8,1.97,6.32,
Kepler-184,d,Kepler-184 d,29.022358,0.179,,6.76,2.49,2.41,
Kepler-185,b,Kepler-185 b,1.6329,0.026,,1.71,1.17,5.87,
Kepler-185,c,Kepler-185 c,20.729042,0.139,,4.74,2.02,3.16,
Kepler-186,b,Kepler-186 b,3.8867907,0.0343,,1.24,1.07,5.56,579
Kepler-186,c,Kepler-186 c,7.267302,0.0451,,2.1,1.25,5.91,470
Kepler-186,d,Kepler-186 d,13.342996,0.0781,,2.54,1.4,5.09,384
Kepler-186,e,Kepler-186 e,22.407704,0.11,,2.15,1.27,5.77,
Kepler-186,f,Kepler-186 f,129.9441,0.432,0.04,1.71,1.17,5.87,
Kepler-187,b,Kepler-187 b,4.938864,0.059,,2.57,1.41,5.04,
Kepler-187,c,Kepler-187 c,10.640263,0.099,,7.61,2.67,2.2,
Kepler-188,b,Kepler-188 b,2.061897,0.032,,3.46,1.68,4.01,
Kepler-188,c,Kepler-188 c,5.996553,0.066,,10.3,3.19,1.74,
Kepler-189,b,Kepler-189 b,10.399931,0.088,,1.92,1.21,5.96,
Kepler-189,c,Kepler-189 c,20.134866,0.137,,22.7,2.38,9.25,
Kepler-19,b,Kepler-19 b,9.28716,,0.12,8.4,2.209,10.4,
Kepler-19,c,Kepler-19 c,28.731,,0.21,13.1,3.68,1.44,
Kepler-19,d,Kepler-19 d,62.95,,0.05,22.5,5.06,0.954,
Kepler-190,b,Kepler-190 b,2.019999,0.03,,3.05,1.56,4.41,
Kepler-190,c,Kepler-190 c,3.763024,0.045,,2.73,1.46,4.82,
Kepler-191,b,Kepler-191 b,9.939632,0.087,,2.36,1.34,5.39,
Kepler-191,c,Kepler-191 c,17.738506,0.128,,4.12,1.86,3.52,
Kepler-191,d,Kepler-191 d,5.94504102,,,5.82,2.28,2.7,
Kepler-192,b,Kepler-192 b,9.926746,0.09,,7.95,2.74,2.12,
Kepler-192,c,Kepler-192 c,21.2234,0.15,,8.2,2.79,2.07,
Kepler-192,d,Kepler-192 d,6.47027579,,,1.04,1.02,5.39,
Kepler-193,b,Kepler-193 b,11.38848,0.106,,6.3,2.39,2.54,
Kepler-193,c,Kepler-193 c,50.697494,0.286,,8,2.75,2.11,
Kepler-194,b,Kepler-194 b,2.092281,0.032,,2.89,1.51,4.61,
Kepler-194,c,Kepler-194 c,17.308032,0.131,,7.22,2.59,2.28,
Kepler-194,d,Kepler-194 d,52.814973,0.275,,6.35,2.4,2.52,
Kepler-195,b,Kepler-195 b,8.307872,0.077,,4.78,2.03,3.14,
Kepler-195,c,Kepler-195 c,34.096863,0.197,,3.02,1.55,4.46,
Kepler-196,b,Kepler-196 b,20.739886,0.138,,4.27,1.9,3.42,
Kepler-196,c,Kepler-196 c,47.427737,0.24,,5.65,2.24,2.76,
Kepler-197,b,Kepler-197 b,5.599308,0.06,0.02,1.04,1.02,5.39,
Kepler-197,c,Kepler-197 c,10.349695,0.09,0.08,5.3,1.23,15.7,
Kepler-197,d,Kepler-197 d,15.677563,0.119,0.03,1.98,1.22,5.99,
Kepler-197,e,Kepler-197 e,25.209715,0.164,0.38,0.693,0.91,5.05,
Kepler-198,b,Kepler-198 b,17.790037,0.131,,8.35,2.82,2.05,
Kepler-198,c,Kepler-198 c,49.567416,0.259,,6.66,2.47,2.43,
Kepler-198,d,Kepler-198 d,1.31184443,,,2.96,1.53,4.54,
Kepler-199,b,Kepler-199 b,23.637604,0.158,,9.85,3.11,1.8,
Kepler-199,c,Kepler-199 c,67.093408,0.316,,10.6,3.25,1.7,
Kepler-20,b,Kepler-20 b,3.69611525,0.0463,0.03,9.7,1.868,8.2,1105
Kepler-20,c,Kepler-20 c,10.85409089,0.0949,0.16,12.75,3.047,2.5,772
Kepler-20,d,Kepler-20 d,77.61130017,0.3506,0.6,10.07,2.744,2.7,401
Kepler-20,e,Kepler-20 e,6.09852281,0.0639,0.28,3.08,0.865,,1040
Kepler-20,f,Kepler-20 f,19.57758478,0.1396,0.32,14.3,1.003,,705
Kepler-20,g,Kepler-20 g,34.94,0.2055,0.15,19.96,4.71,1.05,524
Kepler-200,b,Kepler-200 b,8.594805,0.08,,5.18,2.13,2.95,
Kepler-200,c,Kepler-200 c,10.222157,0.09,,3.15,1.59,4.31,
Kepler-201,b,Kepler-201 b,25.672083,0.175,,6.62,2.46,2.44,
Kepler-201,c,Kepler-201 c,151.884058,0.573,,8.5,2.85,2.02,
Kepler-202,b,Kepler-202 b,4.069427,0.045,,3.29,1.63,4.17,
Kepler-202,c,Kepler-202 c,16.282493,0.113,,4.08,1.85,3.54,
Kepler-203,b,Kepler-203 b,3.162697,0.043,,7.13,2.57,2.31,
Kepler-203,c,Kepler-203 c,5.370647,0.061,,749.9,2.47,273,
Kepler-203,d,Kepler-203 d,11.32972,0.1,,33.9,1.44,62.4,
Kepler-204,b,Kepler-204 b,14.400974,0.117,,6.94,2.53,2.35,
Kepler-204,c,Kepler-204 c,25.660593,0.173,,3.86,1.79,3.7,
Kepler-205,b,Kepler-205 b,2.75564,0.032,,2.89,1.51,4.61,672
Kepler-205,c,Kepler-205 c,20.306546,0.122,,3.33,1.64,4.15,345
Kepler-206,b,Kepler-206 b,7.781987,0.078,,1.87,1.2,5.95,
Kepler-206,c,Kepler-206 c,13.137471,0.111,,3.78,1.77,3.75,
Kepler-206,d,Kepler-206 d,23.44281,0.163,,1.81,1.19,5.9,
Kepler-207,b,Kepler-207 b,1.611865,0.029,,3.09,1.57,4.39,
Kepler-207,c,Kepler-207 c,3.071571,0.044,,2.86,1.5,4.66,
Kepler-207,d,Kepler-207 d,5.868075,0.068,,11,3.31,1.67,
Kepler-208,b,Kepler-208 b,4.22864,0.054,,3.29,1.63,4.17,
Kepler-208,c,Kepler-208 c,7.466623,0.079,,2.51,1.39,5.14,
Kepler-208,d,Kepler-208 d,11.131786,0.103,,1.87,1.2,5.95,
Kepler-208,e,Kepler-208 e,16.259458,0.132,,2.79,1.48,4.73,
Kepler-209,b,Kepler-209 b,16.087845,0.122,,5.73,2.26,2.73,
Kepler-209,c,Kepler-209 c,41.749882,0.231,,9.8,3.1,1.81,
Kepler-21,b,Kepler-21 b,2.78578,0.042717,0.02,5.08,1.639,6.4,2025
Kepler-210,b,Kepler-210 b,2.453234,0.032,,8.96,2.94,1.94,734
Kepler-210,c,Kepler-210 c,7.972513,0.07,,12.8,3.62,1.48,495
Kepler-211,b,Kepler-211 b,4.138575,0.048,,2.13,1.26,5.85,
Kepler-211,c,Kepler-211 c,6.04045,0.062,,18.3,1.29,46.8,
Kepler-212,b,Kepler-212 b,16.257582,0.133,,1.32,1.09,5.6,
Kepler-212,c,Kepler-212 c,31.805174,0.207,,7.95,2.74,2.12,
Kepler-213,b,Kepler-213 b,2.46236,0.036,,3.26,1.62,4.21,
Kepler-213,c,Kepler-213 c,4.822962,0.057,,6.08,2.34,2.61,
Kepler-214,b,Kepler-214 b,15.660544,0.13,,7.32,2.61,2.26,
Kepler-214,c,Kepler-214 c,28.7798,0.194,,5.18,2.13,2.95,
Kepler-215,b,Kepler-215 b,9.360672,0.084,,3.26,1.62,4.21,
Kepler-215,c,Kepler-215 c,14.667108,0.113,,3.78,1.77,3.75,
Kepler-215,d,Kepler-215 d,30.864423,0.185,,23.6,2.39,9.5,
Kepler-215,e,Kepler-215 e,68.16101,0.314,,3.71,1.75,3.8,
Kepler-216,b,Kepler-216 b,7.693641,0.079,,6.12,2.35,2.59,
Kepler-216,c,Kepler-216 c,17.406669,0.136,,9.48,3.04,1.85,
Kepler-217,b,Kepler-217 b,5.374943,0.065,,5.6,2.23,2.77,
Kepler-217,c,Kepler-217 c,8.586004,0.089,,4.08,1.85,3.54,
Kepler-217,d,Kepler-217 d,3.88689525,,,2.3,1.32,5.5,
Kepler-218,b,Kepler-218 b,3.619337,0.046,,2.79,1.48,4.73,
Kepler-218,c,Kepler-218 c,44.699576,0.248,,10,3.14,1.77,
Kepler-218,d,Kepler-218 d,124.5244647,,,7.56,2.66,2.21,
Kepler-219,b,Kepler-219 b,4.585512,0.057,,9.01,2.95,1.93,
Kepler-219,c,Kepler-219 c,22.714613,0.165,,12.5,3.58,1.5,
Kepler-219,d,Kepler-219 d,47.903645,0.272,,19.1,2.81,4.73,
Kepler-22,b,Kepler-22 b,289.8623,0.849,0,36,2.38,14.7,262
Kepler-220,b,Kepler-220 b,4.159807,0.046,,0.457,0.81,4.73,
Kepler-220,c,Kepler-220 c,9.034199,0.076,,3.09,1.57,4.39,
Kepler-220,d,Kepler-220 d,28.122397,0.163,,0.904,0.98,5.28,
Kepler-220,e,Kepler-220 e,45.902733,0.226,,2.33,1.33,5.44,
Kepler-221,b,Kepler-221 b,2.795906,0.037,,3.57,1.71,3.92,
Kepler-221,c,Kepler-221 c,5.690586,0.059,,15.1,2.93,3.3,
Kepler-221,d,Kepler-221 d,10.04156,0.087,,7.9,2.73,2.13,
Kepler-221,e,Kepler-221 e,18.369917,0.13,,7.41,2.63,2.24,
Kepler-222,b,Kepler-222 b,3.936981,0.048,,10.1,3.16,1.76,
Kepler-222,c,Kepler-222 c,10.08881,0.091,,19.4,4.64,1.07,
Kepler-222,d,Kepler-222 d,28.081912,0.18,,13.2,3.69,1.44,
Kepler-223,b,Kepler-223 b,7.38449,0.073,0.078,7.4,2.99,1.54,
Kepler-223,c,Kepler-223 c,9.84564,0.088,0.15,5.1,3.44,0.71,
Kepler-223,d,Kepler-223 d,14.78869,0.116,0.037,8,5.24,0.31,
Kepler-223,e,Kepler-223 e,19.72567,0.14,0.051,4.8,4.6,0.28,
Kepler-224,b,Kepler-224 b,3.132924,0.038,,2.51,1.39,5.14,
Kepler-224,c,Kepler-224 c,5.925003,0.058,,9.91,3.12,1.79,
Kepler-224,d,Kepler-224 d,11.349393,0.089,,5.9,2.3,2.66,
Kepler-224,e,Kepler-224 e,18.643577,0.124,,4.54,1.97,3.26,
Kepler-225,b,Kepler-225 b,6.738975,0.056,,1.87,1.2,5.95,465
Kepler-225,c,Kepler-225 c,18.794234,0.111,,4.04,1.84,3.56,330
Kepler-226,b,Kepler-226 b,3.940997,0.047,,24,1.55,35.4,
Kepler-226,c,Kepler-226 c,5.349555,0.058,,45.2,2.27,21.2,
Kepler-226,d,Kepler-226 d,8.109044,0.076,,1.98,1.22,5.99,
Kepler-227,b,Kepler-227 b,9.488015,0.09,,9.85,3.11,1.8,
Kepler-227,c,Kepler-227 c,54.418694,0.29,,9.48,3.04,1.85,
Kepler-228,b,Kepler-228 b,2.566546,0.038,,2.96,1.53,4.54,
Kepler-228,c,Kepler-228 c,4.134444,0.052,,7.75,2.7,2.16,
Kepler-228,d,Kepler-228 d,11.094286,0.101,,15.4,4.04,1.28,
Kepler-229,b,Kepler-229 b,6.252972,0.062,,5.48,2.2,2.83,
Kepler-229,c,Kepler-229 c,16.068638,0.117,,21.5,4.92,0.992,
Kepler-229,d,Kepler-229 d,41.194912,0.22,,14.2,3.85,1.37,
Kepler-23,b,Kepler-23 b,7.1073,0.075,0.06,254.3,1.9,,
Kepler-23,c,Kepler-23 c,10.7421,0.099,0.02,858.1,3.2,,
Kepler-23,d,Kepler-23 d,15.274299,0.124,0.08,17.6,2.2,9.08,
Kepler-230,b,Kepler-230 b,32.625555,0.191,,16.8,4.26,1.19,
Kepler-230,c,Kepler-230 c,91.773242,0.38,,4.82,2.04,3.12,
Kepler-231,b,Kepler-231 b,10.065275,0.074,,35.4,1.73,37.6,
Kepler-231,c,Kepler-231 c,19.271566,0.114,,24.1,1.93,18.4,345
Kepler-232,b,Kepler-232 b,4.431222,0.054,,9.69,3.08,1.82,
Kepler-232,c,Kepler-232 c,11.379349,0.101,,14,3.83,1.37,
Kepler-233,b,Kepler-233 b,8.472382,0.077,,6.48,2.43,2.48,
Kepler-233,c,Kepler-233 c,60.418955,0.287,,7.8,2.71,2.15,
Kepler-234,b,Kepler-234 b,2.711506,0.04,,13.2,3.7,1.43,
Kepler-234,c,Kepler-234 c,7.21205,0.077,,12.1,3.51,1.54,
Kepler-235,b,Kepler-235 b,3.340222,0.037,,5.6,2.23,4.82,731
Kepler-235,c,Kepler-235 c,7.824904,0.065,,2.18,1.28,4.82,555
Kepler-235,d,Kepler-235 d,20.060548,0.122,,4.86,2.05,4.82,401
Kepler-235,e,Kepler-235 e,46.183669,0.213,,5.56,2.22,4.82,306
Kepler-236,b,Kepler-236 b,8.295611,0.065,,3.09,1.57,4.39,
Kepler-236,c,Kepler-236 c,23.968127,0.132,,4.66,2,3.2,325
Kepler-237,b,Kepler-237 b,4.715106,0.05,,2.57,1.41,5.04,
Kepler-237,c,Kepler-237 c,8.103636,0.071,,4.98,2.08,3.04,
Kepler-238,b,Kepler-238 b,2.090876,0.034,,3.64,1.73,3.86,
Kepler-238,c,Kepler-238 c,6.155557,0.069,,6.3,2.39,2.54,
Kepler-238,d,Kepler-238 d,13.233549,0.115,,9.64,3.07,1.83,
Kepler-238,e,Kepler-238 e,23.654,,,169.7,5.6,5.31,
Kepler-238,f,Kepler-238 f,50.447,,,13.5,2,9.27,
Kepler-239,b,Kepler-239 b,11.763051,0.095,,6.04,2.33,2.62,
Kepler-239,c,Kepler-239 c,56.228098,0.268,,6.85,2.51,2.38,
Kepler-24,b,Kepler-24 b,8.1453,0.08,,508.5,2.4,,
Kepler-24,c,Kepler-24 c,12.3335,0.106,,508.5,2.8,,
Kepler-24,d,Kepler-24 d,4.244384,0.051,,3.43,1.67,4.05,
Kepler-24,e,Kepler-24 e,18.998355,0.138,,8.15,2.78,2.08,
Kepler-240,b,Kepler-240 b,4.144495,0.048,,2.45,1.37,5.24,
Kepler-240,c,Kepler-240 c,7.953528,0.074,,102.3,2.2,52.8,
Kepler-241,b,Kepler-241 b,12.718092,0.094,,6.04,2.33,2.62,
Kepler-241,c,Kepler-241 c,36.065978,0.189,,7.13,2.57,2.31,
Kepler-242,b,Kepler-242 b,8.20395,0.075,,7.32,2.61,2.26,
Kepler-242,c,Kepler-242 c,14.496481,0.109,,4.66,2,3.2,
Kepler-243,b,Kepler-243 b,5.715442,0.062,,6.57,2.45,2.45,
Kepler-243,c,Kepler-243 c,20.026218,0.142,,4.62,1.99,3.22,
Kepler-244,b,Kepler-244 b,4.311792,0.05,,8.05,2.76,2.1,
Kepler-244,c,Kepler-244 c,9.767292,0.087,,4.86,2.05,3.1,
Kepler-244,d,Kepler-244 d,20.050401,0.14,,15.2,2.31,6.78,
Kepler-245,b,Kepler-245 b,7.49019,0.071,,7.13,2.57,2.31,
Kepler-245,c,Kepler-245 c,17.460812,0.124,,225.6,2.18,120,
