loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_eqt
2318,Kepler-229,d,Kepler-229 d,41.19491200,14.20000,3.850,
2319,Kepler-23,b,Kepler-23 b,7.10730000,254.30000,1.900,
2320,Kepler-23,c,Kepler-23 c,10.74210000,858.10000,3.200,
2321,Kepler-23,d,Kepler-23 d,15.27429900,17.60000,2.200,
2322,Kepler-230,b,Kepler-230 b,32.62555500,16.80000,4.260,
2323,Kepler-230,c,Kepler-230 c,91.77324200,4.82000,2.040,
2324,Kepler-231,b,Kepler-231 b,10.06527500,35.40000,1.730,
2325,Kepler-231,c,Kepler-231 c,19.27156600,24.10000,1.930,345
2326,Kepler-232,b,Kepler-232 b,4.43122200,9.69000,3.080,
2327,Kepler-232,c,Kepler-232 c,11.37934900,14.00000,3.830,
2328,Kepler-233,b,Kepler-233 b,8.47238200,6.48000,2.430,
2329,Kepler-233,c,Kepler-233 c,60.41895500,7.80000,2.710,
2330,Kepler-234,b,Kepler-234 b,2.71150600,13.20000,3.700,
2331,Kepler-234,c,Kepler-234 c,7.21205000,12.10000,3.510,
2332,Kepler-235,b,Kepler-235 b,3.34022200,5.60000,2.230,731
2333,Kepler-235,c,Kepler-235 c,7.82490400,2.18000,1.280,555
2334,Kepler-235,d,Kepler-235 d,20.06054800,4.86000,2.050,401
2335,Kepler-235,e,Kepler-235 e,46.18366900,5.56000,2.220,306
2336,Kepler-236,b,Kepler-236 b,8.29561100,3.09000,1.570,
2337,Kepler-236,c,Kepler-236 c,23.96812700,4.66000,2.000,325
2338,Kepler-237,b,Kepler-237 b,4.71510600,2.57000,1.410,
2339,Kepler-237,c,Kepler-237 c,8.10363600,4.98000,2.080,
2340,Kepler-238,b,Kepler-238 b,2.09087600,3.64000,1.730,
2341,Kepler-238,c,Kepler-238 c,6.15555700,6.30000,2.390,
2342,Kepler-238,d,Kepler-238 d,13.23354900,9.64000,3.070,
2343,Kepler-238,e,Kepler-238 e,23.65400000,169.70000,5.600,
2344,Kepler-238,f,Kepler-238 f,50.44700000,13.50000,2.000,
2345,Kepler-239,b,Kepler-239 b,11.76305100,6.04000,2.330,
2346,Kepler-239,c,Kepler-239 c,56.22809800,6.85000,2.510,
2347,Kepler-24,b,Kepler-24 b,8.14530000,508.50000,2.400,
2348,Kepler-24,c,Kepler-24 c,12.33350000,508.50000,2.800,
2349,Kepler-24,d,Kepler-24 d,4.24438400,3.43000,1.670,
2350,Kepler-24,e,Kepler-24 e,18.99835500,8.15000,2.780,
2351,Kepler-240,b,Kepler-240 b,4.14449500,2.45000,1.370,
2352,Kepler-240,c,Kepler-240 c,7.95352800,102.30000,2.200,
2353,Kepler-241,b,Kepler-241 b,12.71809200,6.04000,2.330,
2354,Kepler-241,c,Kepler-241 c,36.06597800,7.13000,2.570,
2355,Kepler-242,b,Kepler-242 b,8.20395000,7.32000,2.610,
2356,Kepler-242,c,Kepler-242 c,14.49648100,4.66000,2.000,
2357,Kepler-243,b,Kepler-243 b,5.71544200,6.57000,2.450,
2358,Kepler-243,c,Kepler-243 c,20.02621800,4.62000,1.990,
2359,Kepler-244,b,Kepler-244 b,4.31179200,8.05000,2.760,
2360,Kepler-244,c,Kepler-244 c,9.76729200,4.86000,2.050,
2361,Kepler-244,d,Kepler-244 d,20.05040100,15.20000,2.310,
2362,Kepler-245,b,Kepler-245 b,7.49019000,7.13000,2.570,
2363,Kepler-245,c,Kepler-245 c,17.46081200,225.60000,2.180,
2364,Kepler-245,d,Kepler-245 d,36.27710800,21.60000,3.030,
2365,Kepler-245,e,Kepler-245 e,3.21982106,3.71000,1.750,
2366,Kepler-246,b,Kepler-246 b,4.60182000,6.08000,2.340,
2367,Kepler-246,c,Kepler-246 c,11.18716100,2.86000,1.500,
2368,Kepler-247,b,Kepler-247 b,3.33616000,3.33000,1.640,
2369,Kepler-247,c,Kepler-247 c,9.43945200,15.70000,4.090,
2370,Kepler-247,d,Kepler-247 d,20.47791200,14.70000,3.940,
2371,Kepler-248,b,Kepler-248 b,6.30820500,9.38000,3.020,
2372,Kepler-248,c,Kepler-248 c,16.23949400,15.60000,4.070,
2373,Kepler-249,b,Kepler-249 b,3.30653900,1.32000,1.090,562
2374,Kepler-249,c,Kepler-249 c,7.11370200,2.89000,1.510,435
2375,Kepler-249,d,Kepler-249 d,15.36845900,3.09000,1.570,336
2376,Kepler-25,b,Kepler-25 b,6.23850000,9.60000,2.710,
2377,Kepler-25,c,Kepler-25 c,12.72040000,24.60000,5.200,
2378,Kepler-25,d,Kepler-25 d,123.00000000,89.90000,11.400,
2379,Kepler-250,b,Kepler-250 b,4.14814100,1.51000,1.130,
2380,Kepler-250,c,Kepler-250 c,7.15680400,5.82000,2.280,
2381,Kepler-250,d,Kepler-250 d,17.64831200,5.39000,2.180,
2382,Kepler-251,b,Kepler-251 b,4.79093600,2.33000,1.330,
2383,Kepler-251,c,Kepler-251 c,16.51404300,8.10000,2.770,
2384,Kepler-251,d,Kepler-251 d,30.13300100,8.10000,2.770,
2385,Kepler-251,e,Kepler-251 e,99.64016100,8.10000,2.770,
2386,Kepler-252,b,Kepler-252 b,6.66839100,2.04000,1.230,
2387,Kepler-252,c,Kepler-252 c,10.84846300,5.27000,2.150,501
2388,Kepler-253,b,Kepler-253 b,3.78398600,3.29000,1.630,
